index,cbo,cargo,idPost
597,262405,Aquarelista,17529
598,641015,Arador,23285
599,722415,Aramador - na Fabricação de Arame,24431
600,621005,Arameiro (colocador de Arames),22103
601,377220,Árbitro Assistente (futebol),19965
602,377220,Árbitro Central (futebol),19967
603,377230,Árbitro Central (judô),19983
604,377235,Árbitro Chefe de Área (karatê),19999
605,377215,Arbitro de Basquete,8012
606,377215,Árbitro de Basquetebol,19949
607,377220,Arbitro de Futebol,8014
608,377230,Arbitro de Judô,8018
609,377205,Arbitro Desportivo,8008
610,251205,Árbitro Econômico,16881
611,377230,Árbitro Lateral (judô),19985
612,377215,Árbitro Reserva (basquete),19951
613,377220,Árbitro Reserva (futebol),19969
614,141405,Arborário,14565
616,764210,Armador de Calçados,25695
618,715315,Armador de Estrutura de Concreto Armado,9054
619,715315,Armador de Ferragens na Construção Civil,23769
620,715315,Armador de Ferros,23771
621,724105,Armador de Manilhas,24553
622,776420,Armador de Móveis de Vime,26329
623,715530,Armador de Telhados,23807
624,141405,Armarinheiro (comércio Atacadista),14567
625,141410,Armarinheiro (comércio Varejista),14617
626,141405,Armazenário (comércio Atacadista),14569
627,141410,Armazenário (comércio Varejista),14619
628,414110,Armazenista,8122
629,141405,Armeiro (comércio Atacadista),14571
630,141410,Armeiro (comércio Varejista),14621
631,325010,Aromista,7606
632,724440,Arqueador,24711
633,724440,Arqueador de Molas,24713
634,724440,Arqueador e Temperador de Molas,24715
635,251110,Arqueólogo,6970
637,214105,Arquiteto de Edificações,6062
638,214110,Arquiteto de Interiores,6064
639,214115,Arquiteto de Patrimônio,6066
640,214115,Arquiteto de Restauro,15441
642,214115,Arquiteto Restaurador,15443
644,415105,Arquivador,20359
645,261305,Arquivista,7128
646,415105,Arquivista de Documentos,8132
647,261105,Arquivista Pesquisador (Jornalismo),7106
648,623015,Arraçoador (pecuária Polivalente),22615
649,631305,Arraçoador de Camarões,22859
650,631325,Arraçoador de Peixe,22879
651,622020,Arrancador - na Cultura,22187
653,782810,Arreador,26567
654,848520,Arreador em Matadouro,27925
655,623110,Arrebanhador,22677
656,768325,Arreeiro de Couro - na Fabricação,26077
657,768325,Arreeiro na Fabricação,26079
658,763305,Arrematadeira,9746
659,354205,Arrematador,19387
660,812105,Arrematador de Fogos,26977
661,621005,Arrendatário - na Agropecuária,22105
662,613005,Arrendatário (pecuária),21809
663,611005,Arrendatário na Agropecuária,21551
664,612005,Arrendatário Polivalente,21583
665,761230,Arriador de Filatório,25467
667,784120,Arrolhador,26733
668,141405,Arrombador - no Comércio de Gado - Empregador,14573
669,141405,Arrombador (comércio de Gado),14575
670,612105,Arrozeiro,21605
671,622105,Arrozeiro - na Cultura - Conta Própria,22299
672,141410,Arrozeiro (comércio),14623
673,622610,Arruador de Café,22541
674,513315,Arrumadeira de Hotel,20805
675,513315,Arrumador de Hotel,20807
676,521125,Arrumador de Prateleiras - em Supermercados,21475
677,512110,Arrumador no Serviço Doméstico,20775
678,515305,Arte Educador,21055
679,766120,Arte-finalista,25779
680,318405,Arte-finalista (desenhista Técnico de Artes Gráficas),18655
681,262405,Artesão (artista Visual),17531
682,791105,Artesão Bordador,10114
684,791115,Artesão com Material Reciclável,10118
685,791120,Artesão Confeccionador de Biojóias e Ecojóias,10120
687,791130,Artesão Escultor,10124
688,752105,Artesão Modelador (Vidros),9520
689,791135,Artesão Moveleiro (Exceto Reciclado),10126
690,791160,Artesão Rendeiro,10136
691,791140,Artesão Tecelão,10128
692,791145,Artesão Trançador,10130
693,791155,Artesão Tricoteiro,10134
694,226310,Arteterapeuta,16433
695,914305,Artífice de Manutenção,28443
696,773110,Artífice de Serra,26187
697,776420,Artífice de Vime,26331
698,768305,Artífice do Couro,9872
699,262405,Artista (Artes Visuais),7220
700,262505,Artista de Cinema,17611
701,376215,Artista de Circo (Outros),7956
702,262505,Artista de Rádio,17613
703,262505,Artista de Teatro,17615
704,262505,Artista de Televisão,17617
705,262505,Artista Dramático,17619
706,262405,Artista Plástico,17533
708,715205,Asfaltador,23739
709,992225,Asfaltador na Conservação de Vias Permanentes (exceto Trilhos),28755
